global index i, global index j, local index i, local index j, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33, number of matches 
0, 1, 4, 5, -0.0021091159590862726, 0.0032985966732150787, -0.006114194628999999, 0.9999953409144455, -0.0027539713686355965, 0.0013167350160726854, 0.0027570337393551156, 0.9999934858443004, -0.002329599520306842, -0.0013103107882766274, 0.0023332189493684413, 0.9999964195810765, 986
1, 2, 5, 10, 0.01293048097120843, -0.01792119563149212, -0.027180825476732222, 0.9999968693826213, -0.0012314074366403627, -0.0021782701121426753, 0.0012473869492365282, 0.9999722119268442, 0.007349789108108632, 0.002169158997247934, -0.007352483244440868, 0.9999706174380252, 974
2, 3, 10, 15, 0.022489491448972748, 0.10747810612890991, 0.015419682944873584, 0.999996940168909, 0.0018255080737415146, 0.001669482881687108, -0.0017467754661430759, 0.99893974070382, -0.046003730479774116, -0.0017516929783550645, 0.04600067350439018, 0.9989398728696598, 674
3, 4, 15, 21, 0.00517474671002059, 0.07615510773444906, 0.024721014990669806, 0.999991571077092, 0.004104425878963783, -0.00010706527587771655, -0.004105151110111603, 0.999959569131153, -0.008000489822615784, 7.422352966321956e-05, 0.008000861906240015, 0.9999679898374871, 796
4, 5, 21, 28, -0.039556017027879364, 0.03836211951391666, 0.013000263019613892, 0.9995262069836458, -0.0037233165858014806, 0.030553207139159867, 0.0044347446255756815, 0.9997198399776276, -0.023250260110633955, -0.030458079272870028, 0.02337473997091947, 0.9992626916573536, 882
5, 6, 28, 30, -0.023473879461418223, 0.03240798911543234, 0.005334003466822096, 0.9999211309088711, 0.007848137351365218, -0.009805034525072724, -0.007705744325512701, 0.9998655131704767, 0.014476777152696088, 0.009917331612565456, -0.014400080293286712, 0.9998471304260632, 837
6, 7, 30, 35, -0.06240103139107868, 0.05124303457892021, -0.0005967530200096019, 0.9999567240877353, 0.00783164389887745, -0.005021484398627701, -0.007727289004749416, 0.9997605079450874, 0.020474759046649985, 0.005180632814779477, -0.020435070521593067, 0.9997777597728488, 704
7, 8, 35, 40, -0.0014062764180193467, 0.04977343726266164, -0.0388332129187775, 0.9999902082095209, 0.0019242581248653863, 0.0039850615738887514, -0.0019368911803183816, 0.9999931039561607, 0.0031686736465302576, -0.003978936746720311, -0.00317636125015781, 0.9999870393117977, 1097
8, 9, 40, 49, 0.08836747573857644, 0.031810744210233416, 0.015229660736049266, 0.999823566017336, 0.01089564829759456, -0.015301035407874171, -0.011046247389094106, 0.9998910364664723, -0.009792630526211822, 0.015192671094867573, 0.009959921795832013, 0.9998349777352383, 776
9, 10, 49, 50, 0.01046353399874033, 0.005399110499533309, 0.010324288277064922, 0.9999983062104841, -0.0018325894160157712, 0.00017085723882968938, 0.0018329299989494465, 0.9999962900669702, -0.0020149987379584123, -0.0001671639396008376, 0.0020153084943344253, 0.9999979552918546, 1082
10, 11, 50, 55, -0.009443890166528343, 0.09245419402014858, 0.010348511204504843, 0.9999911655416425, -0.004165132540022335, 0.0005661356654377691, 0.004134954235705891, 0.9989493647334269, 0.045640649120617945, -0.00075564021614212, -0.045637904965135555, 0.9989577621893018, 1007
11, 12, 55, 64, -0.06621986501569135, 0.11224713629238091, 0.009223980396758, 0.999803819114062, -0.01195890813554139, 0.01578948387825221, 0.012930510887601505, 0.9979335923696826, -0.06293923345835864, -0.015004171857237488, 0.06313105207697586, 0.9978924516652747, 661
12, 13, 64, 65, 0.01929383684214232, -0.0020670643507138694, 0.0010752965397610318, 0.9999750817279754, 0.006769389305630994, -0.0020028208999898745, -0.006771053830316644, 0.9999767354357697, -0.0008254800102513796, 0.0019971863096819643, 0.00083902064884209, 0.9999976536428449, 1134
13, 14, 65, 70, 0.05474272348292251, 0.01234985217248887, -0.0004327472243008279, 0.9999297009316224, -0.006702238533944714, 0.009781267475647455, 0.006636957875758196, 0.9999555875431966, 0.006691317605372798, -0.009825679872225952, -0.00662592935177084, 0.9999297740717963, 832
14, 15, 70, 75, 0.010633171272855247, 0.08704842532397619, -0.004231733600675756, 0.9999785786604527, -0.0007279953286367819, -0.0065047861626957755, 0.0007366676445963442, 0.9999988429799984, 0.00133092428258633, 0.006503809729867691, -0.0013356876379064496, 0.99997795795584, 816
